,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,"[ -inf, -1.075]","[ -1.298, -0.045]","[ -0.287, 0.534]","[ 0.611, 1.077]"
PA_2,"[ -inf, -1.586]","[ -2.685, -0.487]","[ -0.045, 0.611]","[ 0.953, 1.49]"
PA_3,"[ -1.991, -0.287]","[ -1.586, -0.382]","[ -0.2, 0.611]","[ 0.812, 1.341]"
