,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-2.137,-0.389,0.216,0.885
PA_2,-2.487,-1.122,0.294,1.231
PA_3,-0.972,-0.894,0.254,1.114
