,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-3.164,-0.716,-0.258,1.157
PA_2,-2.113,-1.091,0.453,0.989
PA_3,-1.475,-0.803,0.476,1.099
