,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,"[ -inf, -1.948]","[ -1.543, -0.243]","[ -0.85, 0.249]","[ 0.914, 1.384]"
PA_2,"[ -inf, -1.255]","[ -2.641, -0.562]","[ 0.067, 0.793]","[ 0.726, 1.271]"
PA_3,"[ -2.641, -0.562]","[ -1.543, -0.243]","[ -0.002, 0.824]","[ 0.824, 1.329]"
