,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-0.668,-0.876,0.176,1.037
PA_2,-0.7,-0.91,0.263,0.982
PA_3,-0.703,-0.913,0.265,1.006
PA_4,-0.754,-0.891,0.313,1.014
PA_5,-0.689,-0.855,0.303,0.918
