Age,PA,count
age_2_young,PA_1,13046
age_2_young,PA_2,12310
age_2_young,PA_3,35758
age_3_young_adult,PA_1,25313
age_3_young_adult,PA_2,19978
age_3_young_adult,PA_3,47369
age_4_adult,PA_1,19185
age_4_adult,PA_2,14999
age_4_adult,PA_3,34119
age_5_old_adult,PA_1,6644
age_5_old_adult,PA_2,4949
age_5_old_adult,PA_3,11531
