Age,PA,count
age_2_young,PA_1,11651
age_2_young,PA_2,5029
age_2_young,PA_3,15078
age_3_young_adult,PA_1,16830
age_3_young_adult,PA_2,6916
age_3_young_adult,PA_3,20355
age_4_adult,PA_1,8875
age_4_adult,PA_2,4656
age_4_adult,PA_3,14416
age_5_old_adult,PA_1,2307
age_5_old_adult,PA_2,1412
age_5_old_adult,PA_3,4212
