Age,PA,count
age_2_young,PA_1,10182
age_2_young,PA_2,4469
age_2_young,PA_3,12271
age_3_young_adult,PA_1,14731
age_3_young_adult,PA_2,6187
age_3_young_adult,PA_3,16508
age_4_adult,PA_1,7725
age_4_adult,PA_2,4150
age_4_adult,PA_3,12006
age_5_old_adult,PA_1,1983
age_5_old_adult,PA_2,1256
age_5_old_adult,PA_3,3476
