,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-3.151,-0.72,-0.293,1.042
PA_2,-2.189,-1.139,0.434,0.911
PA_3,-1.407,-0.948,0.486,1.234
