,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-2.358,-0.615,0.27,0.657
PA_2,-1.703,-0.58,-0.989,0.709
PA_3,-1.088,-0.611,0.573,1.075
PA_4,-1.29,-0.94,0.279,1.292
PA_5,-0.054,-0.016,0.029,0.052
