Age,PA,count
age_2_young,PA_1,11541
age_2_young,PA_2,11008
age_2_young,PA_3,30377
age_3_young_adult,PA_1,22402
age_3_young_adult,PA_2,17970
age_3_young_adult,PA_3,39539
age_4_adult,PA_1,16923
age_4_adult,PA_2,13616
age_4_adult,PA_3,28710
age_5_old_adult,PA_1,5816
age_5_old_adult,PA_2,4535
age_5_old_adult,PA_3,9740
