Age,PA,count
age_2_young,PA_1,11648
age_2_young,PA_2,5029
age_2_young,PA_3,15079
age_3_young_adult,PA_1,16827
age_3_young_adult,PA_2,6915
age_3_young_adult,PA_3,20355
age_4_adult,PA_1,8882
age_4_adult,PA_2,4656
age_4_adult,PA_3,14408
age_5_old_adult,PA_1,2311
age_5_old_adult,PA_2,1411
age_5_old_adult,PA_3,4205
