,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,0.657,-0.78,-0.078,0.461
PA_2,1.105,0.154,0.564,1.209
PA_3,-0.397,0.089,0.935,0.871
PA_4,-1.424,0.041,-0.605,0.069
PA_5,1.588,1.626,1.672,1.695
