,age_2_young,age_3_young_adult,age_4_adult,age_5_old_adult
PA_1,-3.509,-2.014,-0.266,1.582
PA_2,-2.782,-2.671,0.221,0.929
PA_3,-3.081,-3.234,0.228,1.516
PA_4,-3.839,-2.025,0.041,1.697
PA_5,-1.13,-0.926,-0.561,0.561
